grade_A_Component_1,grade_A_Component_2,max_luminosity,thickness,xmin,xmax,ymin,ymax,pixel_area,log_area,x_component_1,x_component_2,x_component_3,x_component_4,x_component_5,max_luminosity_binned,thickness_binned
1,0,4.812184355372417,65,5.744562646538029,7.3484692283495345,1283.1363918149932,1283.313289886768,25.13961017995307,25.147400452085996,0,1,0,0,0,1.0,1.0
0,1,5.062595033026967,99,11.180339887498949,11.489125293076057,435.74533847191066,435.34928505741226,20.518284528683193,20.54090088043019,0,0,0,0,0,3.0,1.0
0,1,4.787491742782046,35,8.0,8.660254037844387,3603.730428320076,3603.7289021234656,16.492422502470642,16.49885491957956,1,0,0,0,0,1.0,0.0
0,1,4.867534450455582,39,7.54983443527075,13.30413469565007,556.4476615100472,557.515919055232,57.54997827975264,57.552676571882685,0,0,1,0,0,2.0,0.0
1,0,4.955827057601261,75,4.795831523312719,8.888194417315589,2316.960724742653,2316.7794456961155,29.359836511806396,29.368336328632882,0,0,0,0,0,2.0,1.0
0,1,4.897839799950911,287,29.24038303442689,29.34280150224242,608.4554215388339,607.7293805634215,14.422205101855956,14.436836858985044,1,0,0,0,0,2.0,6.0
0,1,4.844187086458591,36,6.6332495807108,14.66287829861518,1411.2384631946509,1411.773707079148,85.17041739947034,85.17077287354961,0,0,1,0,0,1.0,0.0
0,1,5.10594547390058,43,6.4031242374328485,16.24807680927192,808.0748727686067,808.8201283350953,136.7186892857008,136.7214133338254,0,0,1,0,0,3.0,0.0
1,0,4.941642422609304,70,38.0,38.19685850956856,2448.7862299514836,2448.8291079615988,18.384776310850235,18.39613146854953,0,0,0,0,1,2.0,1.0
0,1,4.9344739331306915,178,24.79919353527449,25.0,98.48350115628506,100.85137579626765,11.180339887498949,11.18917395571038,0,0,0,0,0,2.0,3.0
0,1,5.0106352940962555,133,9.055385138137417,9.848857801796104,1233.98338724636,1234.1089903245986,25.942243542145693,25.960580114773325,0,0,0,0,0,3.0,2.0
0,1,4.962844630259907,35,6.244997998398398,14.142135623730951,745.1167693724253,745.2992687504799,78.14089838234521,78.14406343167462,0,0,1,0,0,2.0,0.0
0,1,4.844187086458591,45,22.045407685048602,22.427661492005804,1158.92579572637,1158.9572899809552,22.11334438749598,22.117619573794276,0,0,0,0,0,1.0,0.0
1,0,4.983606621708336,71,23.323807579381203,24.020824298928627,1725.8768785750622,1726.09849081679,26.68332812825267,26.687932795498046,0,0,0,0,0,3.0,1.0
0,1,4.8283137373023015,44,6.782329983125268,14.52583904633395,1516.7725604058112,1516.6542124030777,79.92496481075234,79.9256370080473,0,0,1,0,0,1.0,0.0
0,1,5.049856007249537,96,10.0,12.922847983320086,436.0676553013305,435.7533706123224,19.544820285692065,19.55535221947523,0,0,0,0,0,3.0,1.0
0,1,4.927253685157205,94,40.0,40.13726448077895,1262.9604110976718,1263.1056962899027,31.575306807693888,31.576124976829345,1,0,0,0,0,2.0,1.0
1,0,5.159055299214529,73,24.899799195977465,25.729360660537214,1136.753271383021,1137.1354360849018,12.489995996796797,12.521599481537166,0,0,0,0,0,3.0,1.0
1,0,4.836281906951478,72,40.19950248448356,40.38564101261734,1311.5345973324531,1311.599405306361,21.77154105707724,21.783175165928167,0,0,0,0,0,1.0,1.0
1,0,4.890349128221754,69,16.0,16.24807680927192,980.7650075323854,980.6635508674726,15.524174696260024,15.547582925340054,0,0,0,0,0,2.0,1.0
1,0,5.017279836814924,65,9.273618495495704,9.746794344808963,1587.347157996637,1587.6476309307427,17.832554500127006,17.833317985430245,0,0,0,0,0,3.0,1.0
1,0,4.672828834461906,63,40.11234224026316,40.26164427839479,1080.9773355625916,1081.4726071426867,11.224972160321824,11.269064854110859,0,0,0,0,0,0.0,1.0
0,1,5.017279836814924,36,6.708203932499369,13.892443989449804,1293.4751640445209,1293.3649910214826,106.29205050237765,106.29269316105845,0,0,1,0,0,3.0,0.0
0,1,4.882801922586371,37,22.847319317591726,22.978250586152114,531.5486807433539,530.7701950938844,18.788294228055936,18.793607213585368,0,0,0,0,0,2.0,0.0
0,1,4.983606621708336,45,27.694764848252458,27.820855486487112,937.1824795630785,937.6907805881425,8.602325267042627,8.654924151311375,0,0,0,1,0,3.0,0.0
0,1,4.941642422609304,38,18.681541692269406,19.183326093250876,1060.2537432143308,1060.3579584272472,22.64950330581225,22.66720763160885,0,0,0,0,0,2.0,0.0
0,1,4.875197323201151,105,24.819347291981714,25.03996805109783,1477.321224378774,1477.1648520053543,19.519221295943137,19.532282943194897,0,0,0,0,1,2.0,1.0
0,1,4.90527477843843,55,17.435595774162696,17.74823934929885,1261.9956418308266,1262.071709531594,10.677078252031311,10.708655101754314,0,0,0,1,0,2.0,0.0
0,1,5.003946305945459,40,12.12435565298214,13.379088160259652,584.0804739074916,583.8415881041706,19.8997487421324,19.905966802159487,0,0,0,0,0,3.0,0.0
1,0,4.919980925828125,67,12.041594578792296,13.674794331177344,366.59514453958604,365.8838613549387,50.25932749251625,50.26192071915239,0,1,0,0,0,2.0,1.0
1,0,4.418840607796598,72,1.7320508075688772,4.0,702.8178996013121,703.474235491251,24.331050121192877,24.338552216152035,0,1,0,0,0,0.0,1.0
0,1,4.983606621708336,45,34.11744421846396,34.219877264537345,1107.1666541221334,1107.1165250324827,15.198684153570664,15.229842757625343,0,0,0,0,0,3.0,0.0
0,1,5.017279836814924,36,33.075670817082454,33.24154027718932,504.2588620936671,505.023761817204,18.384776310850235,18.38922137479996,0,0,0,0,0,3.0,0.0
1,0,5.111987788356544,75,1.0,5.0990195135927845,1183.1289025292215,1182.7205925323192,17.0,17.014564956710327,0,0,0,0,0,3.0,1.0
0,1,4.962844630259907,37,27.92848008753788,28.42534080710379,1935.6825669515133,1935.7246705045632,14.66287829861518,14.667838237562878,0,0,0,0,0,2.0,0.0
1,0,4.983606621708336,105,23.473389188611005,24.24871130596428,1443.8770723299126,1443.9106620563475,31.701734968294716,31.717470506676065,0,0,0,0,0,3.0,1.0
0,1,4.718498871295094,297,16.06237840420901,16.792855623746664,475.5039432013156,473.6665493783575,29.5296461204668,29.544389289885657,0,0,0,0,0,1.0,6.0
0,1,4.962844630259907,45,26.90724809414742,27.110883423451916,2273.5621830070977,2273.528755041378,17.549928774784245,17.5719890194672,0,0,0,0,0,2.0,0.0
0,1,5.0106352940962555,174,11.575836902790225,12.806248474865697,647.1166819052032,647.8371709002193,22.715633383201094,22.71714472243351,0,0,0,0,0,3.0,3.0
0,1,5.017279836814924,42,28.495613697550013,28.77498913987632,3401.442782114672,3401.3050436560375,20.952326839756964,20.974784860688942,0,0,0,0,0,3.0,0.0
1,0,4.477336814478207,78,40.23679907746142,40.52159917870962,822.1015752326473,822.1745556753748,27.622454633866266,27.63686228921746,0,0,1,0,0,0.0,1.0
1,0,4.6443908991413725,145,40.8656334834051,41.0,676.204850618509,676.0931888430765,10.392304845413264,10.42653970022732,0,0,0,0,0,0.0,2.0
0,1,5.0106352940962555,44,6.6332495807108,14.071247279470288,1308.3401698335185,1307.862378081119,105.47985589675405,105.48371960378135,0,0,1,0,0,3.0,0.0
0,1,4.882801922586371,41,27.874719729532707,28.035691537752374,1170.4499134948064,1170.4793889684688,14.317821063276353,14.350618420615723,0,0,0,0,0,2.0,0.0
1,0,4.990432586778736,80,35.52463933666322,35.79106033634656,296.59568439206936,297.4743686437539,19.974984355438178,19.980871515469296,0,0,0,0,0,3.0,1.0
0,1,4.836281906951478,45,35.298725189445584,35.84689665786984,238.17640521260708,238.7069332884992,29.88310559496787,29.896649760473867,0,0,0,0,0,1.0,0.0
1,0,4.795790545596741,65,36.49657518178932,36.701498607005135,266.2724168966812,266.89885724745994,22.338307903688676,22.351072735883765,0,0,0,0,0,1.0,1.0
1,0,4.875197323201151,102,23.57965224510319,23.895606290697042,863.3018012259676,863.2004402223159,15.427248620541512,15.439427057158538,0,0,0,0,0,2.0,1.0
1,0,4.875197323201151,83,35.41186241925155,36.72873534441391,596.3698516860154,595.9370772153718,45.880278987817846,45.89016004209784,0,0,0,0,0,2.0,1.0
1,0,4.844187086458591,96,34.132096331752024,34.23448553724738,1473.9803255132003,1474.0379913692861,11.180339887498949,11.194571425984506,0,0,0,0,0,1.0,1.0
0,1,4.969813299576001,37,9.16515138991168,9.797958971132712,1878.7836490665975,1878.5063215225016,15.620499351813308,15.623573668500626,1,0,0,0,0,2.0,0.0
1,0,4.897839799950911,70,26.076809620810597,26.210684844162312,1838.0315557682898,1838.1944946060523,18.65475810617763,18.681147191465165,0,0,0,0,0,2.0,1.0
0,1,4.820281565605037,38,35.31288716601915,35.608987629529715,509.70775940729015,510.96183810535206,22.494443758403985,22.502099777861183,0,0,0,0,0,1.0,0.0
1,0,4.48863636973214,304,18.57417562100671,18.947295321496416,338.03402195637057,338.2572985169721,11.357816691600547,11.369908788461364,0,0,0,0,0,0.0,6.0
0,1,4.976733742420574,52,33.76388603226827,33.95585369269929,1316.3624121039009,1316.27960555499,11.313708498984761,11.356983058069671,0,0,0,1,0,2.0,0.0
0,1,5.0689042022202315,35,19.748417658131498,20.199009876724155,719.2822811664416,718.4003062360149,13.152946437965905,13.190236818827389,0,0,0,0,0,3.0,0.0
1,0,4.820281565605037,96,14.560219778561036,16.09347693943108,3106.514606435965,3106.3398075548657,35.63705936241092,35.64138947829101,0,0,0,0,0,1.0,1.0
0,1,4.709530201312334,127,20.518284528683193,20.639767440550294,301.9536388255654,300.6060544965786,10.488088481701515,10.50152130469462,0,0,0,0,0,1.0,2.0
0,1,4.875197323201151,39,6.244997998398398,14.106735979665885,769.0507135423516,767.7994529823527,79.88742078700501,79.8909023534869,0,0,1,0,0,2.0,0.0
0,1,4.812184355372417,38,9.433981132056603,14.89966442575134,2759.0534608811045,2759.3240114201885,62.96824596572466,62.97394380836428,0,0,1,0,0,1.0,0.0
0,1,4.919980925828125,35,6.708203932499369,14.730919862656235,1715.3483611208542,1715.7243368326976,84.30895563343196,84.30960484728634,0,0,1,0,0,2.0,0.0
0,1,4.976733742420574,42,17.578395831246947,19.157244060668017,1478.0659660515832,1478.027063351683,17.635192088548397,17.641770769866948,0,0,0,0,0,2.0,0.0
0,1,4.770684624465665,37,12.449899597988733,12.767145334803704,165.99397579430405,166.9431040804022,17.52141546793523,17.533511542491432,0,0,0,0,0,1.0,0.0
0,1,4.852030263919617,300,38.66522985836241,39.534794801541594,351.2363876365887,352.62444611796275,33.03028912982749,33.04458070135471,0,0,0,0,0,1.0,6.0
0,1,4.962844630259907,37,31.63858403911275,31.843366656181317,959.953123855535,959.6077323573419,17.69180601295413,17.704295857765715,0,0,0,0,0,2.0,0.0
1,0,4.7535901911063645,66,12.96148139681572,13.416407864998739,1171.8681666467435,1172.2730057456752,13.228756555322953,13.261279346843983,0,1,0,0,0,1.0,1.0
0,1,4.787491742782046,40,6.6332495807108,14.0,664.8804403800732,664.7119676972877,79.13911801378633,79.14404719390595,0,0,1,0,0,1.0,0.0
0,1,4.795790545596741,203,1.4142135623730951,3.4641016151377544,361.9184991127146,360.4774611539534,18.083141320025124,18.097392731209244,0,0,0,0,0,1.0,4.0
1,0,4.762173934797756,64,5.916079783099616,6.48074069840786,1577.3357283723715,1577.7274796364547,18.920887928424502,18.931506015834714,0,0,0,0,0,1.0,1.0
1,0,4.875197323201151,84,32.341923257592455,32.48076353782343,1040.4431748058132,1040.6920774177154,17.11724276862369,17.137752780446082,0,0,0,0,0,2.0,1.0
1,0,4.844187086458591,63,40.4103947023535,40.50925820105819,767.5526040604644,768.1848735818742,13.379088160259652,13.39755996552941,0,0,0,0,0,1.0,1.0
0,1,4.948759890378168,37,34.95711658589707,35.14256678161116,837.2078594948807,837.5523864212913,18.867962264113206,18.88472063335218,0,0,0,0,0,2.0,0.0
0,1,4.941642422609304,41,6.782329983125268,13.564659966250536,1594.3387343974305,1594.6736343214557,69.24593850905626,69.24617699148068,0,0,1,0,0,2.0,0.0
1,0,5.062595033026967,65,14.2828568570857,14.933184523068078,2349.6444411867938,2349.688277197637,18.193405398660254,18.204830463709232,0,0,0,0,0,3.0,1.0
0,1,5.030437921392435,190,32.817678162843876,32.93933818400121,621.4941673097183,621.2439134510696,13.114877048604,13.117513892374294,0,0,0,0,0,3.0,3.0
0,1,4.941642422609304,43,6.48074069840786,14.730919862656235,844.2043591453435,844.5762250975338,137.97825915701358,137.9790947051323,0,0,1,0,0,2.0,0.0
1,0,4.727387818712341,202,6.4031242374328485,7.874007874011811,1955.9197325043785,1955.9555209666707,23.664319132398465,23.67079132011272,0,0,0,0,0,1.0,4.0
0,1,4.941642422609304,38,6.4031242374328485,14.66287829861518,1140.2473415886573,1140.0991184980367,109.14669028422254,109.14983914763907,0,0,1,0,0,2.0,0.0
0,1,4.976733742420574,38,18.947295321496416,21.494185260204677,1484.367542086528,1484.396173533198,25.98076211353316,25.98676306236953,0,0,0,0,0,2.0,0.0
1,0,4.976733742420574,82,16.881943016134134,18.439088914585774,917.1810072172232,917.4431862518791,34.20526275297414,34.20936996113658,0,0,0,0,0,2.0,1.0
0,1,4.890349128221754,44,14.106735979665885,14.491376746189438,395.33656547301564,397.1145930332956,12.12435565298214,12.139904197848768,0,0,0,0,0,2.0,0.0
1,0,4.955827057601261,84,25.748786379167466,25.942243542145693,883.4251524605805,883.8551917593741,11.958260743101398,11.973579100776732,0,0,0,0,0,2.0,1.0
0,1,4.969813299576001,53,27.80287754891569,27.964262908219126,1198.3008804135964,1198.4994785146966,12.489995996796797,12.524625549257642,0,0,0,1,0,2.0,0.0
0,1,4.983606621708336,37,6.4031242374328485,13.674794331177344,648.480531704692,647.8518349128911,70.76015828133795,70.76309353453611,0,0,1,0,0,3.0,0.0
1,0,4.976733742420574,61,36.207733980463345,36.318039594669756,983.5481686221575,983.8155314895166,14.628738838327793,14.637066116572328,0,0,0,0,0,2.0,1.0
1,0,4.990432586778736,78,9.38083151964686,10.04987562112089,831.3001864549292,830.7731338939651,17.72004514666935,17.741591928034957,0,0,0,0,0,3.0,1.0
0,1,4.9344739331306915,62,33.704599092705436,33.793490497431605,1192.4042938533894,1192.0037751618072,15.066519173319364,15.067703453558584,1,0,0,0,0,2.0,1.0
1,0,4.795790545596741,97,32.66496594212215,32.89376840679705,671.6829609272518,671.6784945195134,16.15549442140351,16.163418750131175,0,0,0,0,0,1.0,1.0
1,0,4.30406509320417,304,17.320508075688775,17.74823934929885,358.2457257246763,359.3313234328452,16.186414056238647,16.20157285218745,0,0,0,0,0,0.0,6.0
1,0,4.804021044733257,73,27.018512172212592,27.23967694375247,911.8558000034874,912.8132339093249,13.74772708486752,13.759913238656297,0,0,0,0,0,1.0,1.0
1,0,4.68213122712422,65,40.97560249709576,41.048751503547585,1078.14238391782,1077.405680326589,17.663521732655695,17.69126753743186,0,0,0,0,0,0.0,1.0
0,1,4.882801922586371,45,11.269427669584644,12.96148139681572,275.8767840902891,273.52513595646013,22.22611077089287,22.242983903251293,0,0,1,0,0,2.0,0.0
0,1,4.948759890378168,39,6.244997998398398,14.594519519326424,1669.5744966906987,1669.3939019895813,78.86697661252141,78.86872374173132,0,0,1,0,0,2.0,0.0
0,1,4.897839799950911,40,6.6332495807108,14.66287829861518,1615.2835664365562,1615.623099612035,78.06407624509497,78.0660796351894,0,0,0,0,0,2.0,0.0
0,1,5.3706380281276624,43,29.24038303442689,29.410882339705484,472.88159194453743,471.4297402582913,10.099504938362077,10.105801717136252,0,0,1,0,0,4.0,0.0
1,0,4.875197323201151,60,36.59234892706397,36.76955262170047,1738.7150427830318,1739.0253017135776,12.0,12.015061782435353,0,0,0,0,0,2.0,1.0
0,1,4.859812404361672,35,24.698178070456937,25.0,2606.3056229076437,2605.977167973657,18.411952639521967,18.412666899548736,0,0,0,0,0,1.0,0.0
1,0,4.499809670330265,68,4.69041575982343,5.196152422706632,1680.8807215266645,1680.631726464784,14.966629547095765,14.98610989566354,0,1,0,0,0,0.0,1.0
0,1,4.919980925828125,45,6.48074069840786,13.96424004376894,1501.2248332611607,1501.4286529835508,72.42237223399962,72.42318155882244,0,0,1,0,0,2.0,0.0
0,1,4.890349128221754,43,15.620499351813308,19.364916731037084,1912.436142724771,1912.9704650098495,89.02808545621994,89.02983807379073,0,0,1,0,0,2.0,0.0
