grade_A_Component_1,grade_A_Component_2,max_luminosity,thickness,xmin,xmax,ymin,ymax,pixel_area,x_component_1,x_component_2,x_component_3,x_component_4,x_component_5,class,max_luminosity_binned,thickness_binned
0,1,5.0106352940962555,36,12.0,13.114877048604,973.2548484338519,973.3098170675153,20.952326839756964,0,0,1,0,0,1,6.0,0.0
1,0,4.897839799950911,55,33.823069050575526,33.94112549695428,1542.4195278846803,1542.6029949406943,18.138357147217054,1,0,0,0,0,1,5.0,0.0
1,0,4.90527477843843,65,30.822070014844883,31.20897306865447,1019.0397440728208,1018.2111765247914,17.320508075688775,0,0,0,0,0,2,5.0,1.0
0,1,4.812184355372417,35,6.4031242374328485,14.832396974191326,1305.9785603140658,1305.9877487939923,82.48030067840442,0,0,1,0,0,1,3.0,0.0
1,0,4.927253685157205,69,21.494185260204677,21.587033144922902,1043.1318229255592,1042.3910014960798,15.84297951775486,0,0,0,0,0,2,5.0,1.0
1,0,4.844187086458591,72,15.684387141358123,16.0,1066.5439512743953,1066.2687278542871,13.30413469565007,0,1,0,0,0,1,4.0,1.0
0,1,4.59511985013459,39,15.556349186104045,18.947295321496416,295.3167790695273,295.24396691549856,58.0430874437258,0,0,1,0,0,1,1.0,0.0
0,1,4.912654885736052,38,6.928203230275509,14.212670403551895,835.2335002859978,834.586124974529,78.47929663293371,0,0,1,0,0,1,5.0,0.0
0,1,4.795790545596741,43,6.48074069840786,14.628738838327793,2098.0440891458884,2098.0910371096866,75.27947927556353,0,0,1,0,0,1,3.0,0.0
1,0,4.74493212836325,99,35.90264614203248,36.11094017053558,1002.8015755871148,1003.0573263777101,16.76305461424021,1,0,0,0,0,1,3.0,1.0
0,1,4.912654885736052,42,18.65475810617763,19.0,2683.7865041765153,2683.7542734013487,16.24807680927192,0,0,0,0,0,1,5.0,0.0
0,1,4.90527477843843,36,28.39013913315678,28.827070610799147,547.5171230199106,548.7330862997054,16.24807680927192,0,0,0,0,0,2,5.0,0.0
1,0,4.867534450455582,75,40.43513323831146,40.58324777540605,1454.3067076789546,1454.6322559327496,19.183326093250876,0,0,0,0,0,1,4.0,1.0
1,0,4.68213122712422,65,40.570925550201586,40.85339643163099,1721.291085203197,1720.7716292407893,33.71943060017473,0,0,0,0,0,1,2.0,1.0
1,0,5.0369526024136295,96,25.768197453450252,26.248809496813376,2048.1528263291293,2048.243637851708,21.563858652847824,0,0,0,0,0,1,7.0,1.0
0,1,4.941642422609304,45,6.244997998398398,14.594519519326424,1347.048625699904,1347.073123479197,81.43095234614415,0,0,1,0,0,1,5.0,0.0
1,0,4.8283137373023015,71,7.280109889280518,7.810249675906654,1626.2656609545686,1626.351745472055,14.0,0,1,0,0,0,1,4.0,1.0
0,1,5.0689042022202315,35,6.6332495807108,13.892443989449804,1236.8269887094152,1237.2493685591437,119.89161772200757,0,0,1,0,0,1,7.0,0.0
0,1,4.875197323201151,61,27.40437921208944,27.568097504180443,973.7674260314934,974.1770886240345,13.2664991614216,0,0,0,0,0,2,4.0,1.0
1,0,4.820281565605037,59,25.96150997149434,26.38181191654584,573.2503815960353,573.4300306053041,19.364916731037084,0,0,0,0,0,1,4.0,0.0
0,1,4.804021044733257,60,36.4417343165772,36.565010597564445,356.38883259720694,356.9985994370286,9.899494936611665,1,0,0,0,0,1,3.0,1.0
0,1,4.836281906951478,43,6.6332495807108,14.628738838327793,2102.4083808813166,2102.1151252964237,79.71825386948713,0,0,1,0,0,1,4.0,0.0
0,1,5.0106352940962555,48,28.635642126552707,28.74021572639983,948.7196635466138,948.0738367869878,12.24744871391589,0,0,0,1,0,1,6.0,0.0
0,1,4.927253685157205,35,5.0990195135927845,6.708203932499369,1750.3088298925993,1750.229413534123,21.587033144922902,0,0,0,0,0,2,5.0,0.0
1,0,4.882801922586371,73,15.329709716755891,16.24807680927192,1217.448972236619,1217.278111197273,8.717797887081348,0,0,0,0,0,2,4.0,1.0
0,1,5.278114659230517,35,30.331501776206203,30.512292604784715,761.1419052975601,760.2269398015305,19.209372712298546,0,0,1,0,0,1,9.0,0.0
1,0,4.955827057601261,203,26.589471600616662,26.962937525425527,2252.1105656694567,2252.0486229209173,22.47220505424423,0,0,0,0,0,2,5.0,4.0
0,1,4.927253685157205,41,6.782329983125268,14.560219778561036,1336.2293964735247,1336.202828914832,82.24962005991274,0,0,1,0,0,1,5.0,0.0
1,0,4.8283137373023015,66,36.66060555964672,36.76955262170047,214.29185705481206,216.8962885805103,14.0,0,0,0,0,0,2,4.0,1.0
0,1,4.969813299576001,44,6.324555320336759,14.832396974191326,1543.55822695485,1543.5893236220572,79.45438943192504,0,0,1,0,0,1,6.0,0.0
0,1,4.948759890378168,52,22.781571499789035,22.847319317591726,450.83034503014545,450.8059449474907,10.862780491200215,0,0,0,1,0,1,5.0,0.0
0,1,4.990432586778736,175,23.515952032609693,23.68543856465402,1075.1246439366926,1074.8730157558148,15.748015748023622,0,0,0,0,0,2,6.0,3.0
0,1,4.955827057601261,37,6.244997998398398,14.177446878757825,847.0383698510948,847.4166625692463,79.31582439841371,0,0,1,0,0,1,5.0,0.0
0,1,4.890349128221754,42,6.782329983125268,14.560219778561036,1391.032709895781,1391.1254436606355,81.34494452638098,0,0,1,0,0,1,4.0,0.0
0,1,4.927253685157205,42,6.6332495807108,14.628738838327793,1189.0584510443546,1189.0496204952929,81.30805618141414,0,0,1,0,0,1,5.0,0.0
1,0,4.867534450455582,78,25.37715508089904,25.592967784139454,794.0850080438491,793.6989353652933,18.0,0,0,0,0,0,2,4.0,1.0
1,0,4.948759890378168,69,10.392304845413264,11.135528725660043,1265.4493273142152,1266.1121593287066,22.360679774997898,0,1,0,0,0,1,5.0,1.0
1,0,4.882801922586371,58,30.610455730027933,30.773365106858236,773.7835614692264,773.4339015067803,13.038404810405298,0,0,0,0,0,1,4.0,0.0
0,1,5.176149732573829,36,30.903074280724887,31.0322412983658,703.5744452437141,702.9879088576133,10.862780491200215,0,0,1,0,0,1,8.0,0.0
0,1,4.5217885770490405,144,27.730849247724095,28.071337695236398,214.21951358361358,212.27105313725656,15.0,0,0,0,0,0,2,1.0,2.0
1,0,4.919980925828125,56,31.096623610932426,31.240998703626616,1639.8884108377617,1640.1310923215863,15.684387141358123,0,0,0,0,0,1,5.0,0.0
0,1,4.983606621708336,38,6.855654600401044,13.74772708486752,338.31789784166017,338.82148692194835,64.52131430775415,0,0,1,0,0,1,6.0,0.0
0,1,4.867534450455582,39,6.244997998398398,14.832396974191326,1265.5710173672594,1265.5974873552807,81.97560612767678,0,0,1,0,0,1,4.0,0.0
0,1,4.976733742420574,40,17.26267650163207,17.549928774784245,3567.135265167274,3567.195957611524,20.493901531919196,1,0,0,0,0,1,6.0,0.0
1,0,5.0238805208462765,58,16.822603841260722,17.233687939614086,1716.798473904261,1716.4364246892455,15.0,0,0,0,0,0,1,6.0,0.0
0,1,5.0238805208462765,45,24.919871588754223,25.495097567963924,1420.5393341966987,1420.1591460114603,13.74772708486752,0,0,0,0,0,2,6.0,0.0
1,0,4.836281906951478,65,27.640549922170507,27.92848008753788,1438.463068695196,1438.58228822685,20.71231517720798,0,0,0,0,0,1,4.0,1.0
1,0,5.056245805348308,96,30.265491900843113,30.463092423455635,1896.4635509284117,1896.9322602560167,15.937377450509228,0,0,0,0,0,1,7.0,1.0
1,0,5.003946305945459,148,35.7211421989835,36.11094017053558,939.9510625559184,939.9920212427337,14.177446878757825,0,0,0,0,0,2,6.0,2.0
1,0,4.7535901911063645,74,9.591663046625438,10.816653826391969,1672.433556228767,1672.8403988426392,16.911534525287763,0,0,0,0,0,2,3.0,1.0
0,1,5.049856007249537,35,1.7320508075688772,14.933184523068078,707.7577269094277,706.833785270625,148.64386970204993,0,0,1,0,0,1,7.0,0.0
0,1,5.030437921392435,48,34.85685011586675,34.9857113690718,1400.8154767848619,1400.5670280282911,7.874007874011811,0,0,0,1,0,1,6.0,0.0
0,1,4.564348191467836,298,16.24807680927192,16.46207763315433,299.07189771023286,296.8585521759479,17.26267650163207,0,0,0,0,0,2,1.0,6.0
0,1,5.003946305945459,41,6.244997998398398,14.142135623730951,1196.322698940382,1195.912204135404,118.97898974188678,0,0,1,0,0,1,6.0,0.0
0,1,4.90527477843843,66,21.213203435596427,24.24871130596428,1009.7445221440917,1009.7192679155925,36.138621999185304,0,0,0,0,0,2,5.0,1.0
1,0,4.990432586778736,85,15.231546211727817,16.06237840420901,1262.6171232800543,1262.2955279965147,19.79898987322333,0,0,0,0,0,1,6.0,1.0
1,0,4.997212273764115,72,31.368774282716245,31.575306807693888,1342.495065167839,1342.3151641846262,18.16590212458495,0,0,0,0,0,1,6.0,1.0
0,1,4.955827057601261,43,36.46916505762094,36.53765181289022,1436.061976378457,1436.5336752057015,10.14889156509222,0,0,0,0,0,1,5.0,0.0
0,1,4.770684624465665,173,36.11094017053558,36.66060555964672,184.06248938879426,183.85048272985307,23.895606290697042,0,0,0,0,0,2,3.0,3.0
0,1,4.844187086458591,49,2.6457513110645907,15.132745950421556,172.11623979160132,170.49926686059385,126.82665335015349,0,0,1,0,0,1,4.0,0.0
0,1,4.941642422609304,45,6.557438524302,14.628738838327793,1136.3885779081027,1137.0197887460006,110.20435563080073,0,0,1,0,0,1,5.0,0.0
0,1,4.919980925828125,67,3.4641016151377544,5.196152422706632,552.4083634413947,551.4816406735586,23.600847442411894,1,0,0,0,0,1,5.0,1.0
0,1,4.804021044733257,95,17.578395831246947,17.916472867168917,757.893132308243,757.4153418039537,18.275666882497067,0,0,0,0,0,1,3.0,1.0
0,1,5.0106352940962555,45,36.41428291206625,36.52396473549935,1264.5920290749898,1264.516903801606,15.362291495737216,0,0,0,0,1,1,6.0,0.0
0,1,4.927253685157205,42,28.231188426986208,28.460498941515414,1514.8745822674562,1514.8026274072804,16.97056274847714,0,0,0,0,0,1,5.0,0.0
0,1,4.624972813284271,203,6.164414002968976,9.899494936611665,244.4238122605897,243.64523389551456,57.30619512757761,0,0,0,0,0,2,2.0,4.0
1,0,4.8283137373023015,72,7.615773105863909,8.660254037844387,1530.924557252904,1530.9875897602828,31.670175244226233,0,0,0,0,0,2,4.0,1.0
0,1,4.9344739331306915,39,11.789826122551595,13.038404810405298,649.7191701035148,649.3927933077176,24.73863375370596,0,0,0,0,0,2,5.0,0.0
1,0,5.062595033026967,80,13.96424004376894,15.132745950421556,959.9890624376926,960.1994584460043,31.78049716414141,0,0,0,0,0,1,7.0,1.0
1,0,4.882801922586371,90,35.12833614050059,35.32704346531139,1447.0677247454591,1447.0691068501187,17.291616465790582,0,0,0,0,0,1,4.0,1.0
1,0,4.787491742782046,65,5.916079783099616,6.6332495807108,671.5214069558766,672.297553171213,14.89966442575134,0,1,0,0,0,1,3.0,1.0
1,0,5.0238805208462765,62,19.209372712298546,19.493588689617926,696.043102113655,696.2966321906204,19.157244060668017,0,0,0,0,0,1,6.0,1.0
1,0,4.727387818712341,76,32.49615361854384,32.89376840679705,2089.0461938406243,2088.9353747782625,11.532562594670797,0,0,0,0,0,1,3.0,1.0
1,0,4.74493212836325,74,40.50925820105819,40.8656334834051,1267.8028237860965,1267.691602875084,27.2213151776324,0,0,0,0,0,2,3.0,1.0
0,1,4.875197323201151,115,13.45362404707371,14.035668847618199,1131.5325890136792,1131.5401009243994,19.77371993328519,1,0,0,0,0,1,4.0,2.0
0,1,5.017279836814924,69,1.4142135623730951,5.916079783099616,755.5918210250823,755.1046285118374,58.29236656715869,0,0,0,0,0,2,6.0,1.0
0,1,5.062595033026967,219,10.63014581273465,12.489995996796797,557.788490379642,557.2521870751159,48.83646178829912,0,0,0,0,0,2,7.0,4.0
0,1,4.795790545596741,179,33.31666249791537,33.436506994600975,1082.0480580824494,1081.3491573030424,17.804493814764857,0,1,0,0,0,1,3.0,3.0
0,1,4.941642422609304,37,6.48074069840786,14.832396974191326,1323.3975215331182,1322.944443277948,81.9084855189009,0,0,1,0,0,1,5.0,0.0
0,1,4.804021044733257,38,3.872983346207417,5.830951894845301,1029.786871153444,1029.960193405551,15.231546211727817,0,0,0,0,0,2,3.0,0.0
0,1,4.770684624465665,44,32.12475680841802,32.58834147360065,260.8294461904177,261.8377360122104,30.56141357987225,0,0,0,0,0,2,3.0,0.0
0,1,4.983606621708336,97,25.0,25.219040425836983,1434.002440723167,1433.8305339195424,27.202941017470888,0,0,0,0,1,1,6.0,1.0
1,0,4.844187086458591,83,38.353617821530214,38.49675310984031,1069.8766284016115,1069.5615924293468,20.615528128088304,0,0,0,0,0,1,4.0,1.0
1,0,5.0689042022202315,74,14.491376746189438,15.165750888103101,1032.7037329263412,1032.9138395819857,16.97056274847714,0,0,0,0,0,2,7.0,1.0
0,1,4.941642422609304,45,31.064449134018133,31.240998703626616,810.497378157388,811.2459553057877,22.315913604421397,0,0,0,0,0,2,5.0,0.0
0,1,4.997212273764115,44,36.11094017053558,36.22154055254967,1539.4947223033926,1539.0399604948534,13.038404810405298,0,0,0,0,1,1,6.0,0.0
0,1,4.962844630259907,37,2.8284271247461903,14.966629547095765,578.108121375232,577.7205206672168,145.74978559160903,0,0,1,0,0,1,5.0,0.0
0,1,4.836281906951478,41,6.708203932499369,14.594519519326424,1456.0618118747568,1456.0460157563703,79.44180259787665,0,0,1,0,0,1,4.0,0.0
1,0,4.836281906951478,65,29.546573405388315,29.715315916207253,2012.083000276082,2011.9423450983877,17.204650534085253,0,0,0,0,0,1,4.0,1.0
1,0,4.77912349311153,74,11.74734012447073,12.409673645990857,1316.3468387928767,1316.7289014827616,18.138357147217054,0,0,0,0,0,2,3.0,1.0
1,0,4.9344739331306915,68,12.884098726725126,13.19090595827292,550.8484365049973,549.7290241564475,9.695359714832659,0,1,0,0,0,1,5.0,1.0
0,1,4.787491742782046,41,6.164414002968976,7.211102550927978,363.9477984546685,364.95753177595884,30.28200785945344,1,0,0,0,0,1,3.0,0.0
0,1,4.859812404361672,43,36.51027252705737,36.52396473549935,1297.6374686328998,1297.0759422639833,16.703293088490067,0,0,0,0,1,1,4.0,0.0
1,0,4.736198448394496,74,6.4031242374328485,6.928203230275509,1228.3883750671039,1228.074916281576,19.157244060668017,0,1,0,0,0,1,3.0,1.0
1,0,4.912654885736052,84,32.72613634390714,33.06055050963308,1730.330604248795,1730.412378596501,11.532562594670797,0,0,0,0,0,1,5.0,1.0
1,0,4.875197323201151,68,10.392304845413264,10.862780491200215,1520.2450460369867,1520.6064579634008,10.535653752852738,0,0,0,0,0,2,4.0,1.0
0,1,5.181783550292085,95,10.677078252031311,11.090536506409418,321.6566492395268,322.58952245849525,14.832396974191326,0,0,0,0,0,2,8.0,1.0
1,0,4.844187086458591,75,32.32645975048923,32.57299494980466,2004.9034889490317,2004.9663338819432,17.549928774784245,0,0,0,0,0,1,4.0,1.0
1,0,4.927253685157205,72,27.748873851023216,27.874719729532707,2039.1316779452964,2039.0576254731006,20.074859899884732,1,0,0,0,0,1,5.0,1.0
0,1,4.844187086458591,173,34.66987164671943,34.785054261852174,1116.6928852643416,1116.1590388470631,23.83275057562597,0,1,0,0,0,1,4.0,3.0
0,1,5.049856007249537,43,6.4031242374328485,13.711309200802088,1391.133710324065,1390.9539891743364,98.54440623394105,0,0,1,0,0,1,7.0,0.0
0,1,4.8283137373023015,43,7.211102550927978,13.228756555322953,498.70632640863903,500.56667887505256,60.4979338490167,0,0,1,0,0,1,4.0,0.0
0,1,4.727387818712341,104,36.66060555964672,36.796738985948195,326.5914879478643,325.1153641401772,10.770329614269007,1,0,0,0,0,1,3.0,1.0
1,0,4.962844630259907,64,14.352700094407323,15.132745950421556,1046.4372890909422,1045.6376045265397,14.7648230602334,0,0,0,0,0,2,5.0,1.0
0,1,5.049856007249537,43,11.090536506409418,12.12435565298214,451.7632123137075,451.769852911856,18.894443627691185,0,0,0,0,0,2,7.0,0.0
0,1,4.919980925828125,71,14.832396974191326,15.264337522473747,1759.0252982831146,1758.9229659083992,18.627936010197157,0,0,0,0,0,2,5.0,1.0
0,1,4.962844630259907,43,6.557438524302,13.892443989449804,1199.185140001326,1198.7159797049508,111.42710621747295,0,0,1,0,0,1,5.0,0.0
0,1,4.8283137373023015,44,3.7416573867739413,5.744562646538029,1011.7025254490571,1012.487036954054,18.466185312619388,0,0,0,0,0,2,4.0,0.0
0,1,4.983606621708336,45,10.488088481701515,13.92838827718412,1241.5627249559323,1241.3698079138223,43.41658669218482,0,0,1,0,0,1,6.0,0.0
1,0,4.672828834461906,74,4.0,5.196152422706632,1690.354696506032,1690.528911317402,17.944358444926362,0,1,0,0,0,1,2.0,1.0
0,1,5.081404364984463,43,6.6332495807108,13.856406460551018,1251.177445448886,1251.106710077122,114.54256850621083,0,0,1,0,0,1,7.0,0.0
1,0,4.983606621708336,55,22.693611435820433,22.9128784747792,1845.5384038269158,1845.5297342497627,13.076696830622021,0,0,0,0,0,1,6.0,0.0
1,0,4.836281906951478,69,14.035668847618199,14.38749456993816,286.00524470715567,286.76819907374664,14.491376746189438,0,1,0,0,0,1,4.0,1.0
1,0,4.919980925828125,70,7.483314773547883,8.366600265340756,1308.6920951851127,1309.238328189333,17.291616465790582,0,1,0,0,0,1,5.0,1.0
0,1,4.875197323201151,44,25.65151067676132,25.748786379167466,1210.6832781532914,1210.2669127097543,12.165525060596439,0,0,0,0,0,2,4.0,0.0
0,1,5.176149732573829,201,31.76476034853718,31.827660925679098,232.038789860661,230.68159874597714,17.74823934929885,0,0,0,0,0,2,8.0,4.0
1,0,4.6913478822291435,97,40.07492981902776,40.149719799769464,1092.623448402971,1093.3540140320517,18.138357147217054,1,0,0,0,0,1,2.0,1.0
0,1,4.941642422609304,99,24.919871588754223,25.019992006393608,1491.559251253533,1491.5227118619414,18.49324200890693,0,0,0,0,1,1,5.0,1.0
0,1,4.941642422609304,41,19.026297590440446,19.79898987322333,1684.9789316190277,1685.1596363549656,36.0416425818802,0,0,0,0,0,1,5.0,0.0
0,1,4.941642422609304,38,6.6332495807108,14.628738838327793,1432.7857481144904,1432.6039229319456,81.22807396460905,0,0,1,0,0,1,5.0,0.0
1,0,4.875197323201151,67,11.916375287812984,12.609520212918492,1045.7165007782942,1045.8838367619992,14.866068747318506,0,1,0,0,0,1,4.0,1.0
0,1,4.897839799950911,199,6.782329983125268,7.211102550927978,294.7575274696136,293.33257575659746,15.556349186104045,1,0,0,0,0,1,5.0,4.0
0,1,4.852030263919617,41,9.486832980505138,14.560219778561036,2697.366308086464,2697.5205281888034,65.49045732013177,0,0,1,0,0,1,4.0,0.0
0,1,5.081404364984463,41,15.748015748023622,16.61324772583615,494.453233380064,494.13459704821315,17.635192088548397,0,0,0,0,0,2,7.0,0.0
0,1,4.919980925828125,35,33.77869150810907,33.95585369269929,2020.68602212219,2020.7065595974098,20.46948949045872,0,0,0,0,0,2,5.0,0.0
1,0,4.6913478822291435,79,40.162171256046406,40.26164427839479,1292.8321623474565,1292.7288965595224,9.695359714832659,0,0,0,0,0,2,2.0,1.0
0,1,4.997212273764115,45,23.790754506740637,23.853720883753127,942.9003128645148,942.5269226923972,10.246950765959598,0,0,0,1,0,1,6.0,0.0
0,1,5.043425116919247,70,27.982137159266443,28.372521918222215,1022.7888345108192,1023.0522958285172,20.784609690826528,0,0,0,0,0,2,7.0,1.0
0,1,4.653960350157523,44,29.0516780926679,29.257477676655586,86.75828490697589,86.33075929238663,16.1245154965971,0,0,0,0,0,2,2.0,0.0
0,1,4.882801922586371,41,6.244997998398398,14.832396974191326,1287.7891908227837,1287.8485935854417,82.78284846512591,0,0,1,0,0,1,4.0,0.0
0,1,4.804021044733257,39,6.708203932499369,14.866068747318506,1727.672712060939,1728.114290201895,84.14273587185052,0,0,1,0,0,1,3.0,0.0
0,1,5.0369526024136295,42,6.48074069840786,13.92838827718412,1361.4598782189653,1361.6324761109365,105.32331175955302,0,0,1,0,0,1,7.0,0.0
0,1,4.770684624465665,182,35.6931365951495,35.81898937714463,408.797015644684,408.7089428921271,22.24859546128699,0,0,0,0,0,2,3.0,3.0
1,0,4.941642422609304,68,39.293765408777,39.57271787481876,1145.7739742200465,1145.4785026354707,7.14142842854285,0,0,0,0,0,2,5.0,1.0
0,1,4.969813299576001,47,27.92848008753788,28.053520278211074,1137.0998197168092,1136.8434368900582,13.490737563232042,0,0,0,1,0,1,6.0,0.0
0,1,5.056245805348308,44,33.37663853655727,33.58571124749333,2085.5704255670676,2085.540457531333,15.748015748023622,0,0,0,0,0,1,7.0,0.0
0,1,4.941642422609304,90,3.605551275463989,4.795831523312719,1320.2923918587126,1319.9821968496394,15.748015748023622,1,0,0,0,0,1,5.0,1.0
1,0,4.59511985013459,70,3.605551275463989,4.69041575982343,451.9148149817618,452.7328130365635,15.297058540778355,0,1,0,0,0,1,1.0,1.0
1,0,5.159055299214529,72,4.242640687119285,6.4031242374328485,1460.6727901895072,1460.4882745164373,16.217274740226856,0,0,0,0,0,2,8.0,1.0
1,0,5.056245805348308,66,37.78888725538237,38.157568056677825,2428.7628538002637,2428.4608294143845,16.881943016134134,0,0,0,0,1,1,7.0,1.0
0,1,4.718498871295094,216,10.770329614269007,11.704699910719626,338.3489323169204,340.27341947322304,26.210684844162312,0,0,0,0,0,2,2.0,4.0
0,1,5.081404364984463,65,29.899832775452108,30.757112998459398,1417.2371008409284,1417.0688056689414,22.090722034374522,0,0,0,0,0,2,7.0,1.0
0,1,5.093750200806762,35,1.0,15.198684153570664,554.576414933055,556.4773131044966,160.04061984383839,0,0,1,0,0,1,7.0,0.0
1,0,4.762173934797756,67,40.43513323831146,40.7308237088326,1728.562408477056,1728.307264348559,35.4682957019364,0,0,0,0,0,1,3.0,1.0
0,1,4.927253685157205,36,36.51027252705737,36.51027252705737,1228.0728805734618,1228.5084452294172,9.219544457292887,0,0,0,0,0,2,5.0,0.0
0,1,4.976733742420574,41,7.874007874011811,13.490737563232042,488.2212613149903,489.44151846773275,58.93216439263028,0,0,1,0,0,1,6.0,0.0
1,0,4.948759890378168,81,23.664319132398465,24.392621835300936,524.4644887883259,524.3472132089576,24.310491562286437,0,0,0,0,0,1,5.0,1.0
1,0,5.0106352940962555,69,36.08323710533743,36.207733980463345,1199.88457778238,1199.70621403742,17.320508075688775,0,0,0,0,0,1,6.0,1.0
1,0,4.990432586778736,145,31.12876483254676,31.272991542223778,1103.8650279812293,1104.3369051154634,18.65475810617763,0,0,0,0,0,1,6.0,2.0
0,1,5.062595033026967,40,6.557438524302,14.832396974191326,1072.1399162422786,1072.7604578842381,130.9083648969767,0,0,1,0,0,1,7.0,0.0
0,1,5.0238805208462765,98,24.919871588754223,25.219040425836983,1447.4898963377948,1447.8708505940715,33.31666249791537,0,0,0,0,1,1,6.0,1.0
1,0,4.859812404361672,73,35.90264614203248,35.958309192730404,1309.7362329873904,1309.702256239944,16.30950643030009,0,0,0,0,0,1,4.0,1.0
